gene	length
DRPE_CRAPL	485
DRTS_MAIZE	1120
DSE1_ARATH	329
DSE1_NICBE	683
DSK2_SCHPO	702
DSK2A_ARATH	450
DSK2B_ARATH	785
DSLE_ARATH	773
DSP4_CASSA	896
DSP8_ARATH	926
DST1_DICDI	351
DTC_ARATH	818
DTD1_MOUSE	520
DTX10_ARATH	854
DTX11_ARATH	304
DTX12_ARATH	543
DTX14_ARATH	353
DTX15_ARATH	397
DTX16_ARATH	714
DTX18_ARATH	394
DTX19_ARATH	1067
DTX21_ARATH	1069
DTX23_ARATH	450
DTX26_ARATH	308
DTX27_ARATH	662
DTX28_ARATH	306
DTX29_ARATH	317
DTX32_ARATH	368
DTX34_ARATH	1242
DTX35_ARATH	438
DTX36_ARATH	368
DTX39_ARATH	512
DTX40_ARATH	619
DTX41_ARATH	509
DTX42_ARATH	620
DTX43_ARATH	355
DTX44_ARATH	890
DTX45_ARATH	550
DTX46_ARATH	848
DTX47_ARATH	349
DTX48_ARATH	514
DTX50_ARATH	323
DTX53_ARATH	324
DTX56_ARATH	306
DTX7_ARATH	920
DUS1_ARATH	908
DUS1_SCHPO	341
DUS1L_HUMAN	1137
DUS1L_RAT	648
DUS2L_HUMAN	1008
DUS2L_MOUSE	435
DUS3L_ORYSJ	803
DUSA_SHEON	1378
DUSA_VIBPA	432
DUSA_VIBVU	436
DUSL1_ARATH	429
DV4H_CATRO	331
DWA2_ARATH	424
DWRF8_MAIZE	768
DXO_ARATH	962
DXR_ORYSJ	1318
DXS_CAPAN	542
DXS1_ORYSJ	1261
DXS2_ORYSJ	435
DYAD_ARATH	501
DYHC2_PLAF7	671
DYL1_DROME	560
DYL1_HELCR	625
DYL2_RAT	426
DYM_MOUSE	348
DYM_XENTR	720
DYR_SCHPO	742
DYRK2_DICDI	1316
DYRK3_RAT	780
E131_ARATH	654
E1311_ARATH	339
E1312_ARATH	453
E1313_ARATH	350
E1314_ARATH	543
E133_ARATH	547
E134_ARATH	950
E134_MAIZE	715
E137_ARATH	625
E138_ARATH	481
E13B_HORVU	728
E13B_MAIZE	391
E13B_WHEAT	577
E13D_HORVU	428
E13E_HORVU	380
E2FA_ARATH	460
E2FB_ARATH	351
E70A1_ARATH	756
E70B1_ARATH	527
EA1_MAIZE	448
EAAC_ARATH	664
EAF_DROER	730
EAF1A_ARATH	755
EAF1B_ARATH	810
EAF6_MOUSE	731
EAF6_XENLA	827
EAPP_HUMAN	504
EAPP_MOUSE	529
EBF1_ARATH	1758
EBF2_ARATH	633
EBFC2_ARATH	614
EBM_ARATH	415
EBM_LILLO	495
EBP_ORYSJ	658
EBP1_SOLTU	936
EBP2_ARATH	893
EBS_ARATH	894
EBSL_ARATH	1875
ECA1_ARATH	875
ECA3_ARATH	613
ECA4_ARATH	659
ECD_ARATH	715
ECE2_BOVIN	579
ECE2_HUMAN	900
ECH1P_ARATH	952
ECH2_ARATH	734
ECH2M_ARATH	450
ECI1_ARATH	386
ECI3_ARATH	824
ECM29_HUMAN	760
ECM29_MOUSE	1622
ECM29_PONAB	620
ECM29_YEAST	752
EDA2_ARATH	676
EDA3_ARATH	823
EDL1_ARATH	603
EDL16_ARATH	511
EDL2_ARATH	845
EDL3_ARATH	327
EDM2_ARATH	954
EDR1_ARATH	1150
EDR2_ARATH	965
EDR2L_ARATH	1039
EDRF1_MOUSE	488
EDRF1_PONAB	397
EDS1C_ARATH	809
EDS1L_ARATH	346
EDSBC_ARATH	674
EER5_ARATH	577
EF101_ARATH	435
EF1A_AERPE	573
EF1A_MAIZE	767
EF1A_METS5	425
EF1A_ORYSJ	783
EF1A_PEA	363
EF1A_SOLLC	862
EF1A_SOYBN	651
EF1A_VICFA	342
EF1A2_DAUCA	319
EF1A2_EUPCR	433
EF1B_ORYSJ	672
EF1D_PIMBR	942
EF1D1_ORYSJ	830
EF1G1_ORYSJ	570
EF1G2_ORYSJ	1175
EF1G3_ORYSJ	378
EF2_ARATH	1661
EF4L4_ARATH	974
EFG1P_SCHPO	892
EFGC_ARATH	656
EFGC2_SOYBN	1623
EFGM_ORYSJ	1162
EFP_GLUOX	461
EFP_MICAN	506
EFP_RHORT	333
EFP_SYNP6	328
EFR_ARATH	667
EFR3_CAEBR	1808
EFR3B_MOUSE	725
EFTM_ARATH	733
EFTS_MAIZE	584
EFTS_PROM5	1062
EFTS_PROMA	701
EFTS_SYNY3	1774
EFTS_TRIEI	558
EFTU2_SOYBN	1869
EGY1_ORYSJ	517
EGY2_ORYSI	438
EGY2_ORYSJ	804
EGY3_ORYSJ	1358
EHD1_ARATH	969
EHD2_ARATH	486
EI24_ARATH	804
EI2BA_BOVIN	555
EI2BA_DICDI	1083
EI2BA_RAT	339
EI2BB_DICDI	777
EI2BD_DICDI	599
EI2BD_HUMAN	941
EI2BD_MOUSE	928
EI2BD_RABIT	993
EI2BD_SCHPO	782
EI2BE_RABIT	2272
EI2BE_SCHPO	1634
EI2BG_DICDI	546
EI2BG_MACFA	375
EI3JA_DANRE	827
EID1_ARATH	388
EIF1A_BOVIN	386
EIF2A_HUMAN	326
EIF2A_MOUSE	1071
EIF2A_SCHPO	389
EIF2A_YEAST	314
EIF2D_MOUSE	338
EIF2D_PONAB	313
EIF2D_RABIT	939
EIF2D_RAT	712
EIF3A_MAIZE	775
EIF3B_ARATH	1355
EIF3B_TOBAC	408
EIF3C_ARATH	640
EIF3C_MEDTR	1997
EIF3D_ARATH	604
EIF3E_ARATH	884
EIF3F_ARATH	1191
EIF3G_NEMVE	863
EIF3H_ARATH	863
EIF3I_ARATH	690
EIF3J_DICDI	428
EIF3K_ORYSJ	633
EIF3L_NEMVE	794
EIF3M_DICDI	654
EIF3M_PHANO	434
EIL1_ARATH	793
EIL3_ARATH	618
EIN2_ARATH	843
EIN3_ARATH	946
EKI_ARATH	706
ELC_ARATH	636
ELD1_ARATH	741
ELF3_ARATH	922
ELI6_HORVU	525
ELI9_HORVU	678
ELM1_ARATH	533
ELMD2_HUMAN	562
ELMO3_RAT	327
ELMOA_DICDI	774
ELO3_YEAST	556
ELO3L_ARATH	872
ELOC_RAT	658
ELOF1_ORYSJ	561
ELP1_ARATH	420
ELP2_ARATH	382
ELP3_ORYSJ	712
ELP4_ARATH	376
ELP5_ARATH	531
EM506_ARATH	463
EMB8_PICGL	888
EMBP1_WHEAT	816
EMC1_CHICK	1556
EMC1_HUMAN	749
EMC1_XENLA	879
EMC10_HUMAN	1090
EMC10_MOUSE	1057
EMC10_XENLA	1128
EMC2A_XENLA	904
EMC3_BOVIN	507
EMC3_DANRE	1120
EMC3_RAT	767
EMC6_BOVIN	545
EMC6_DICDI	491
EMC89_ARATH	615
EME1_ORYSJ	355
EMF2_ARATH	699
EML2_ARATH	512
EML3_ARATH	1353
EML4_ARATH	317
EMS1_ARATH	360
ENAS1_ARATH	530
ENAS2_ARATH	679
ENDB1_SOLTU	836
ENDO2_ARATH	665
ENDO4_ARATH	836
ENDOV_HUMAN	524
ENDUA_XENLA	613
ENDUB_DANRE	716
ENDUB_XENLA	776
ENG2_SCHPO	1134
ENGB_ECOK1	1130
ENL1_ARATH	303
ENL2_ARATH	469
ENO_ORYSJ	804
ENO1_ARATH	384
ENO1_MAIZE	1092
ENO2_MAIZE	995
ENO3_ARATH	748
ENOX_SOLLC	648
ENPL_HORVU	1064
ENT1_ARATH	525
ENT3_ARATH	946
ENT5_ARATH	722
ENT6_ARATH	336
EPC2_XENLA	1564
EPHX4_MOUSE	356
EPL1_ASPFU	1202
EPN1_ARATH	794
EPN2_ARATH	690
EPN3_ARATH	841
EPT1_SCHPO	960
ERA_CLOK5	422
ERA_STAAW	459
ERA_XANAC	395
ERA_XYLFT	395
ERCC1_ARATH	359
ERCC2_ARATH	334
ERD15_ARATH	860
ERD2_CAEEL	667
ERD2_PETHY	511
ERD22_CAEEL	460
ERD2A_ARATH	714
ERD2B_ARATH	557
ERDL4_ARATH	680
ERDL5_ARATH	695
ERDL6_ARATH	629
ERDL7_ARATH	635
ERECT_ARATH	435
ERF1_ORYSJ	998
ERF1_SOLLC	326
ERF1X_ARATH	377
ERF1Y_ARATH	564
ERF1Z_ARATH	1260
ERF2_TOBAC	302
ERF3A_HUMAN	1791
ERF4_NICSY	460
ERF60_ARATH	303
ERF73_ARATH	587
ERF76_ARATH	346
ERF77_ARATH	388
ERF88_ARATH	821
ERFK_ECOLI	315
ERFL1_ARATH	1012
ERG_ANTMA	388
ERG1_ORYSJ	647
ERG1_PANGI	688
ERG14_ARATH	731
ERG24_ARATH	420
ERG3_ORYSJ	689
ERGI3_BOVIN	1009
ERGI3_DANRE	734
ERGI3_DICDI	498
ERGI3_MACFA	725
ERGI3_MOUSE	803
ERGI3_XENLA	524
ERH_ARATH	434
ERI2_MOUSE	420
ERI2_XENLA	1478
ERL2_ARATH	387
ERLN2_BOVIN	895
ERLN2_PONAB	660
ERLN2_XENTR	336
ERMP1_HUMAN	1411
ERMP1_MOUSE	639
ERMP1_SCHPO	659
ERO1_ARATH	605
ERO2_ARATH	725
ERS1_ORYSJ	924
ERS2_ORYSI	366
ERS2_ORYSJ	350
ERV1_ARATH	400
ERVB_TABDI	688
ERYG_SACEN	1146
ESD4_ARATH	697
ESF1_ASHGO	865
ESF1_HUMAN	928
ESF1_SCHPO	988
ESF2_CANAL	404
ESF2_DEBHA	585
ESP1_ARATH	498
ESP3_ARATH	881
ESR1_ARATH	1162
ESRP1_MOUSE	1049
ESRP1_RAT	1058
ESYT1_HUMAN	967
ETFA_ORYSJ	374
ETFB_ORYSI	341
ETFQO_ORYSJ	388
ETHE1_ARATH	813
ETOL1_ARATH	928
ETR3_ORYSJ	518
ETUD1_HUMAN	542
ETUD1_MOUSE	339
EVI5_DROME	1507
EVI5_HUMAN	324
EVI5L_HUMAN	866
EVN_ARATH	589
EX84A_ARATH	601
EX84B_ARATH	650
EXB11_ORYSJ	393
EXD1_HUMAN	514
EXD1_MOUSE	1077
EXEC1_ORYSJ	1609
EXEC2_ORYSJ	1204
EXL1_ARATH	355
EXL3_ARATH	1085
EXLA1_ORYSJ	400
EXO5_ARATH	855
EXOC_AZOBR	593
EXOC5_ORYSJ	1039
EXOS3_DICDI	361
EXOS5_ORYSJ	429
EXP10_ORYSJ	451
EXPA4_ORYSJ	670
EXPB3_ORYSJ	923
EXPB4_ORYSJ	446
EYA_DROME	1416
EYA4_HUMAN	1208
EYA4_MOUSE	750
EZ1_MAIZE	923
EZ2_MAIZE	347
EZ3_MAIZE	1100
F10AL_ARATH	1006
F10C1_HUMAN	756
F116_DICDI	376
F135B_XENLA	1663
F16P1_ORYSJ	1307
F16P2_MUSAC	814
F16P2_ORYCO	573
F16P2_SACHY	1307
F16PA_SERP5	339
F179B_MOUSE	494
F188A_BOVIN	1759
F188A_DANRE	350
F188A_MOUSE	1243
F210B_HUMAN	916
F210B_MOUSE	816
F214B_PONAB	1197
F26_ARATH	1085
F3PH_ARATH	745
F3PH_PETHY	665
F4ST_FLACH	471
F6H1_ARATH	397
F8H_ARATH	304
FA32A_DANRE	621
FA32A_XENTR	558
FA63A_DANRE	568
FA63A_MOUSE	714
FA63A_PONAB	418
FA63B_MOUSE	1177
FAAA_BOVIN	355
FAAA_DICDI	557
FAAA_RAT	615
FAAH_ARATH	697
FAB1A_ARATH	651
FAB1B_ARATH	1097
FAB1C_ARATH	1310
FAB1D_ARATH	958
FABD_DROME	330
FABD_ECO57	380
FABD_HUMAN	1008
FABG_CUPLA	807
FABG_THEMA	306
FABG1_SYNY3	520
FABG3_BRANA	666
FABG4_BRANA	337
FABH_ARATH	669
FABH_SPIOL	515
FABI1_ORYSJ	888
FABI2_ORYSJ	948
FABZ_THEEB	593
FACE1_ORYSJ	1448
FACE2_ARATH	454
FACR1_ARATH	324
FACR4_ARATH	932
FAD1_HUMAN	1296
FAD1_MOUSE	553
FAD1_SCHPO	1122
FAD3C_HELAN	1793
FAD3C_RICCO	1084
FAD3C_SESIN	1160
FAD3C_SOYBN	968
FAD3D_ARATH	430
FAD4_ARATH	714
FAD6C_BRANA	713
FAEA_ASPNC	428
FAEA_ASPTN	1520
FAFL_ARATH	581
FAHD1_DICDI	558
FAHD1_PONAB	736
FAL1_CRYNJ	320
FAL1_PICST	585
FAL1_USTMA	545
FAN1_ORYSJ	488
FANCI_MOUSE	532
FAO1_LOTJA	520
FAO2_LOTJA	717
FAP1_ARATH	305
FAP2_ARATH	753
FAR_SIMCH	923
FAR1_ARATH	531
FARS_MAIZE	606
FAS1_ORYSJ	398
FATA1_ARATH	510
FATA2_ARATH	546
FATB_ARATH	701
FATB_GOSHI	1207
FAX1_ARATH	472
FAX2_ARATH	571
FAX3_ARATH	1009
FAX5_ARATH	530
FAX6_ARATH	417
FB117_ARATH	1060
FB118_ARATH	803
FB121_ARATH	1239
FB128_ARATH	410
FB135_ARATH	376
FB140_ARATH	474
FB154_ARATH	1351
FB17_ARATH	1015
FB19_ARATH	317
FB237_ARATH	601
FB252_ARATH	311
FB253_ARATH	419
FB27_ARATH	407
FB270_ARATH	403
FB271_ARATH	835
FB285_ARATH	524
FB290_ARATH	502
FB302_ARATH	739
FB304_ARATH	691
FB315_ARATH	988
FB322_ARATH	683
FB324_ARATH	304
FB327_ARATH	332
FB330_ARATH	393
FB334_ARATH	478
FB338_ARATH	373
FB341_ARATH	1357
FB345_ARATH	1338
FB348_ARATH	490
FB37_ARATH	590
FB46_ARATH	917
FB60_ARATH	633
FB76_ARATH	517
FB84_ARATH	425
FB92_ARATH	854
FBD8_ARATH	302
FBK15_ARATH	407
FBK17_ARATH	746
FBK21_ARATH	634
FBK22_ARATH	607
FBK28_ARATH	824
FBK29_ARATH	927
FBK30_ARATH	700
FBK46_ARATH	772
FBK77_ARATH	352
FBK8_ARATH	613
FBL10_ARATH	631
FBL11_ARATH	443
FBL12_ARATH	485
FBL15_ARATH	1371
FBL17_ARATH	740
FBL21_ARATH	395
FBL23_ARATH	1051
FBL26_ARATH	999
FBL3_ARATH	951
FBL34_ARATH	459
FBL4_ARATH	533
FBL53_ARATH	503
FBL78_ARATH	333
FBL79_ARATH	346
FBLK2_ARATH	325
FBT1_ARATH	639
FBT2_ARATH	304
FBT4_ARATH	440
FBT7_ARATH	956
FBT8_ARATH	792
FBT9_ARATH	904
FBW2_ARATH	604
FBW3_ARATH	625
FBW4_ARATH	1066
FBX14_ARATH	551
FBX21_MOUSE	1635
FBX21_PONAB	1656
FBX6_ARATH	1151
FBX8_ARATH	305
FBXL7_HUMAN	863
FCA_ARATH	949
FCF1_PONAB	680
FCF2_SCHPO	367
FCHO1_HUMAN	601
FCL1_ORYSJ	423
FCL2_ARATH	430
FCL2_ORYSJ	958
FD_ARATH	578
FDFT_ARATH	989
FDFT_NICBE	1579
FDH1_ORYSJ	637
FDL1_ARATH	523
FDM1_ARATH	893
FDM2_ARATH	826
FDM5_ARATH	352
FEA2_MAIZE	583
FEI1_ARATH	314
FEI2_ARATH	642
FEN1_MAIZE	349
FEN11_SORBI	432
FENR_VICFA	357
FENR1_ORYSJ	553
FENR1_TOBAC	451
FENR2_ORYSJ	692
FENR2_TOBAC	369
FENR3_ORYSJ	657
FER_CHLFR	939
FER_WHEAT	364
FER1_DESAF	973
FER1_MAIZE	733
FER1_ORYSJ	535
FER2_ARATH	375
FER2_MAIZE	512
FER2_SYNP6	828
FER3_ARATH	1060
FER3_MAIZE	615
FER5_MAIZE	620
FER6_MAIZE	646
FERON_ARATH	788
FES1_ASPFU	672
FES1_ASPOR	377
FES1_ASPTN	768
FES1_COCIM	752
FES1_NEOFI	320
FES1_USTMA	399
FGGY_HUMAN	341
FGGY_XENLA	1255
FH1_ORYSJ	340
FH13_ORYSJ	682
FH16_ORYSJ	542
FH18_ORYSJ	438
FH3_ORYSJ	863
FH5_ORYSJ	746
FH7_ORYSJ	450
FH8_ORYSJ	324
FHA1_TOBAC	669
FHA2_ARATH	778
FHIT_BOVIN	392
FHIT_DICDI	579
FHY3_ARATH	655
FHYRK_ARATH	661
FIE2_MAIZE	1315
FIGL1_CAEBR	1369
FIGL1_HUMAN	512
FIGL1_MOUSE	421
FIGL1_RAT	323
FIMB5_ARATH	1604
FIP2_ARATH	473
FIP37_ARATH	815
FIPS5_ARATH	903
FIS1A_ARATH	700
FK117_ARATH	498
FK118_ARATH	327
FK126_ARATH	604
FK151_ARATH	599
FK152_ARATH	730
FK163_ARATH	624
FK164_ARATH	786
FK171_ARATH	517
FK172_ARATH	431
FK201_ARATH	789
FK202_ARATH	904
FKB12_VICFA	656
FKB13_ARATH	702
FKB19_ARATH	1179
FKB42_ARATH	633
FKB53_ARATH	460
FKB62_ARATH	1474
FKB65_ARATH	341
FKB70_WHEAT	787
FKGP_ARATH	792
FLA13_ARATH	572
FLA15_ARATH	380
FLA17_ARATH	387
FLA2_ARATH	397
FLK_ARATH	732
FLOT2_ORYSJ	395
FLP2_ORYSJ	912
FLP4_ORYSJ	469
FLP5_ORYSJ	601
FLS_MATIN	743
FLS1_ARATH	564
FLS2_ARATH	672
FLU_ARATH	1290
FLUG_EMENI	865
FLXL1_ARATH	934
FLXL2_ARATH	451
FLXL3_ARATH	723
FLXL4_ARATH	430
FMDA_METME	1440
FMDA_SCHPO	1015
FMO1_ARATH	607
FMO2_ARATH	449
FMP32_YEAST	744
FMT_GEOMG	551
FN3KR_ORYSI	576
FN3KR_ORYSJ	1068
FNRL1_ARATH	1091
FNSI_PETCR	504
FNTA_PEA	527
FNTA_SOLLC	628
FNTB_PEA	545
FOLD1_ARATH	516
FOLD2_ARATH	793
FOLD4_ARATH	637
FOLH1_PIG	306
FOSB_BACLD	484
FOX2_ARATH	497
FPA_ARATH	675
FPG_ARATH	909
FPGS1_ARATH	656
FPP_SOLLC	406
FPP3_ARATH	546
FPP4_ARATH	514
FPPS_MAIZE	646
FQR1_ARATH	692
FQRL1_ARATH	422
FQRL2_ARATH	457
FRAY2_DICDI	1503
FRDA_ARATH	426
FREE1_ARATH	804
FRI1_MAIZE	781
FRL3_ARATH	976
FRL4A_ARATH	920
FRO6_ARATH	592
FRO7_ARATH	840
FRS1_ARATH	392
FRS10_ARATH	354
FRS12_ARATH	619
FRS2_ARATH	526
FRS3_ARATH	510
FRS4_ARATH	453
FRS5_ARATH	680
FRS6_ARATH	784
FRS7_ARATH	1444
FRS8_ARATH	572
FRS9_ARATH	696
FRYL_HUMAN	530
FSH1_YEAST	441
FSH3_YEAST	349
FT_ARATH	581
FTHS_ARATH	1143
FTHS_SPIOL	583
FTRC_MAIZE	982
FTRV_MAIZE	759
FTSH1_ORYSJ	679
FTSH2_ORYSJ	1770
FTSH4_ORYSJ	425
FTSH5_ORYSJ	1146
FTSH6_ORYSJ	870
FTSH7_ORYSJ	1643
FTSH8_ORYSJ	1514
FTSH9_ORYSJ	1325
FTSI3_ARATH	976
FTSZ1_ARATH	595
FTZ21_ARATH	954
FTZ22_ARATH	697
FUBP1_HUMAN	733
FUBP1_MOUSE	622
FUBP1_RAT	514
FUBP2_MOUSE	892
FUBP3_HUMAN	843
FUCO1_ARATH	525
FUCO1_ORYSJ	427
FUCO2_ARATH	912
FUM1_ARATH	452
FUM2_ARATH	1340
FUT1_ARATH	730
FUT1_PEA	567
FUT11_ARATH	596
FUT12_ARATH	385
FUT13_ARATH	330
FUT8_ARATH	777
FXL14_HUMAN	1726
FXL14_MOUSE	1144
FXL16_MOUSE	1960
FXL16_RAT	1656
FY_ARATH	1122
FYPP_PEA	1255
FYPP3_ARATH	640
FYV10_EMENI	486
FZL_ARATH	1870
FZR1_ARATH	800
FZR2_ARATH	507
G11A_ORYSI	567
G11A_ORYSJ	638
G2OX8_ARATH	409
G3BP_SCHPO	834
G3OX_PEA	398
G3P_BRUMA	1238
G3PA_MAIZE	458
G3PB_ARATH	457
G3PB_PEA	410
G3PB_SPIOL	414
G3PC_PETHY	1099
G3PC1_MAIZE	687
G3PC2_MAIZE	818
G3PC3_MAIZE	568
G3PP1_ARATH	423
G3PP2_ARATH	468
G6PD_SOLTU	1367
G6PD2_ARATH	1338
G6PD3_ARATH	602
G6PD4_ARATH	373
G6PD6_ARATH	608
G6PDC_SOLTU	486
G6PDC_SPIOL	778
G6PDC_TOBAC	1012
G6PI_MAIZE	975
G6PIP_ARATH	939
GAA1_SCHPO	2342
GABP2_BOVIN	389
GABP2_HUMAN	313
GACP2_ARATH	562
GACP3_ARATH	366
GACP4_ARATH	434
GACY_DICDI	615
GAE1_ARATH	515
GAE4_ARATH	741
GAG_EIAVY	350
GAGT3_ARATH	821
GAK_HUMAN	385
GALDH_ARATH	919
GALE2_CYATE	439
GALK1_ARATH	1194
GALM_BOVIN	501
GALM_PIG	1286
GALM_RAT	313
GALUR_FRAAN	506
GAM1_ORYSI	460
GAM1_ORYSJ	585
GAO1D_WHEAT	312
GAOX2_ORYSJ	561
GAP1_ORYSJ	761
GAPN_MAIZE	953
GAPN_WHEAT	841
GAR2_SCHPO	510
GAT1_ARATH	897
GAT18_ORYSI	542
GAT18_ORYSJ	928
GAT19_ORYSJ	702
GAT20_ORYSJ	464
GAT21_ARATH	892
GAT23_ARATH	812
GAT26_ARATH	997
GATA_MAIZE	529
GATA_SORBI	1017
GATA2_ARATH	428
GATA5_ARATH	397
GATA8_ARATH	593
GATA9_ARATH	378
GATB_SORBI	785
GATC_SORBI	568
GATL2_ARATH	396
GATL8_ARATH	428
GATL9_ARATH	389
GATP1_ORYSI	665
GATP1_ORYSJ	547
GATP3_ORYSI	516
GATP3_ORYSJ	735
GATY_SALPB	481
GATY_SHIFL	1745
GAUT4_ARATH	385
GAUT7_ARATH	373
GAUT8_ARATH	1330
GAUTA_ARATH	413
GAUTB_ARATH	785
GAUTD_ARATH	464
GAUTE_ARATH	546
GBA2_HUMAN	531
GBA2_MOUSE	1992
GBA2_RAT	885
GBB_MAIZE	694
GBF4_ARATH	483
GBLPA_ORYSJ	540
GBLPB_ORYSJ	322
GBP1_CHLAE	3098
GBP1_PONAB	3171
GBP2_HUMAN	458
GBP4_HUMAN	443
GBP4_MOUSE	428
GBP5_HUMAN	399
GBP6_PONAB	673
GC1_ARATH	1123
GCA1_ARATH	701
GCA2_ARATH	634
GCAL1_ARATH	333
GCAL2_ARATH	608
GCFC2_HUMAN	661
GCH1_SOLLC	488
GCN1_HUMAN	422
GCN1_MOUSE	1542
GCN2_ARATH	437
GCN5_ORYSJ	510
GCP2_ARATH	805
GCP4_MEDTR	390
GCP5_HUMAN	870
GCP5_MACFA	685
GCP5_MOUSE	1572
GCR2_ARATH	632
GCS1_ARATH	597
GCS2_ARATH	934
GCSH_ORYSJ	603
GCSH2_ARATH	440
GCSP_PEA	725
GCSP_SOLTU	852
GCSP1_ARATH	1997
GCSP2_ARATH	960
GCST_FLAAN	746
GCST_FLAPR	1386
GCSY1_CUCME	330
GDAP2_DANRE	747
GDAP2_DROME	716
GDAP2_NEMVE	448
GDAP2_XENTR	1153
GDC_BOVIN	807
GDC_HUMAN	346
GDC_MOUSE	613
GDI1_ARATH	518
GDI2_ARATH	812
GDIR_ARATH	1080
GDL10_ARATH	532
GDL13_ARATH	445
GDL16_ARATH	429
GDL2_ARATH	492
GDL22_ARATH	572
GDL28_ARATH	513
GDL40_ARATH	418
GDL53_ARATH	418
GDL58_ARATH	461
GDL6_ARATH	431
GDL62_ARATH	570
GDL7_ARATH	454
GDL70_ARATH	402
GDL71_ARATH	1080
GDL72_ARATH	1777
GDL74_ARATH	429
GDL78_ARATH	690
GDL8_ARATH	1222
GDL80_ARATH	560
GDL83_ARATH	579
GDL84_ARATH	720
GDL88_ARATH	407
GDL9_ARATH	747
GDL91_ARATH	383
GDPD1_ARATH	1100
GDPD2_ARATH	582
GDPD4_ARATH	549
GDPD5_ARATH	633
GDPD6_ARATH	670
GDT11_ORYSI	495
GDT12_ORYSJ	682
GDT13_ORYSJ	862
GDT15_ORYSJ	828
GDU3_ARATH	790
GEK1_ARATH	576
GEM_ARATH	671
GEML1_ARATH	1181
GEML5_ARATH	405
GEML8_ARATH	680
GENL1_ORYSJ	422
GENL2_ORYSJ	743
GEP4_YEAST	615
GET3_RHOGU	410
GET4_BOVIN	441
GET4_DICDI	686
GFPT2_HUMAN	2088
GFPT2_RAT	1258
GFS12_ARATH	324
GFT_ALLCE	369
GG2_ORYSJ	579
GGAP2_ARATH	859
GGH2_ARATH	1066
GGH3_ARATH	386
GGP1_ARATH	490
GGP4_ARATH	415
GGP5_ARATH	450
GGPPS_HEVBR	817
GGR_ARATH	785
GGT1_ARATH	1200
GGT2_ARATH	1024
GH312_ORYSJ	339
GH33_ORYSJ	409
GH35_ORYSJ	683
GH38_ORYSJ	577
GH39_ORYSJ	364
GID1_ORYSJ	1111
GID1B_ARATH	310
GID4_MOUSE	848
GID8_DICDI	764
GID8_HUMAN	995
GID8_NEMVE	678
GIF3_ARATH	366
GIGAN_ORYSJ	3563
GILT_HUMAN	905
GIN1_HUMAN	403
GIN1_MOUSE	370
GIN1_PONAB	323
GIP1_ARATH	896
GIP1L_ARATH	1350
GIS_ARATH	392
GIS2_YEAST	886
GL11_ORYSJ	495
GL37_ORYSJ	438
GL52_ORYSJ	442
GLAK1_ARATH	577
GLB1_MAIZE	866
GLB3_ARATH	683
GLDH1_ORYSJ	545
GLDH2_ORYSJ	621
GLE1_ARATH	1139
GLFT_THEAC	339
GLGB_MAIZE	3202
GLGB_ORYSJ	904
GLGB2_ARATH	816
GLGL1_ARATH	2032
GLGL1_MAIZE	502
GLGL1_WHEAT	485
GLGL2_MAIZE	376
GLGL2_WHEAT	2202
GLGS_BETVU	359
GLGS_MAIZE	690
GLGS_ORYSJ	1789
GLH4_CAEEL	415
GLK1_ORYSJ	1065
GLK2_ORYSJ	803
GLNA1_MAIZE	973
GLNA2_HORVU	425
GLNA2_MAIZE	301
GLNA3_MAIZE	1398
GLNA4_MAIZE	486
GLNA5_MAIZE	616
GLNAC_MAIZE	972
GLNB_ORYSJ	390
GLO1_ORYSJ	480
GLO2_ORYSJ	979
GLO2C_ARATH	835
GLO2D_ARATH	1400
GLO3_ORYSJ	525
GLO4_ORYSI	788
GLO4_ORYSJ	540
GLO5_ORYSJ	864
GLPK_ARATH	487
GLPT1_ARATH	655
GLPT2_ARATH	413
GLPT5_ARATH	441
GLR25_ARATH	340
GLR26_ARATH	355
GLR28_ARATH	437
GLR31_ARATH	767
GLR31_ORYSJ	905
GLR32_ARATH	416
GLR33_ARATH	652
GLR34_ARATH	679
GLR35_ARATH	586
GLT1_ORYSJ	1642
GLT2_CROSA	392
GLT2_ORYSJ	431
GLT3_CROSA	349
GLTB_MAIZE	2229
GLTB_ORYSJ	572
GLTP1_ARATH	687
GLTP2_ARATH	647
GLTP3_ARATH	670
GLU2A_ORYSJ	507
GLU2B_ORYSI	1056
GLU2B_ORYSJ	410
GLUA_DICDI	665
GLUBP_ARATH	778
GLYC4_ARATH	813
GLYC7_ARATH	1339
GLYK_ARATH	1279
GLYM_SOLTU	1696
GLYM2_FLAPR	470
GLYR1_ARATH	1194
GLYR1_DANRE	319
GLYR2_ARATH	872
GLYT3_ARATH	435
GLYT7_ARATH	533
GLYT8_ARATH	425
GMAN2_ARATH	1114
GME1_ORYSJ	1332
GME2_ORYSJ	945
GMK1_ORYSJ	441
GMK2_ORYSJ	611
GMPAB_DANRE	612
GMPP1_ORYSJ	416
GMPP3_ORYSJ	1450
GMPPA_DICDI	656
GMPPA_PAPAN	598
GNA2_ORYSJ	468
GNOM_ARATH	659
GOGA5_ORYSJ	411
GOGC2_ARATH	782
GOGC4_ARATH	770
GOGC5_ARATH	1076
GOGC6_ARATH	1288
GOLS1_ARATH	565
GOLS2_ARATH	500
GOLS2_SOLLC	795
GONS1_ARATH	630
GONS3_ARATH	589
GONS4_ARATH	990
GOS11_ARATH	872
